City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
254,Mehamn,71.0357,27.8492,19.76,94,100,7.61,NO,2022-02-14 01:50:53
255,Souillac,-20.5167,57.5167,80.37,94,75,9.22,MU,2022-02-14 01:50:54
256,Talara,-4.5772,-81.2719,73.44,84,99,7.78,PE,2022-02-14 01:50:55
257,Gamba,-2.65,10.0,77.04,86,86,2.93,GA,2022-02-14 01:50:56
258,Kalemie,-5.9475,29.1947,67.3,86,100,6.35,CD,2022-02-14 01:50:56
259,Levin,-40.6333,175.275,68.68,61,99,8.05,NZ,2022-02-14 01:50:57
260,Grafton,42.207,-71.6856,26.15,87,100,0.0,US,2022-02-14 01:50:57
261,Komsomolskiy,40.4272,71.7189,36.32,87,100,2.3,UZ,2022-02-14 01:50:58
262,Langsa,4.4683,97.9683,82.53,68,47,2.42,ID,2022-02-14 01:50:59
263,Hirara,24.8,125.2833,66.47,77,75,24.16,JP,2022-02-14 01:50:59
264,San Jose,37.3394,-121.895,72.09,54,75,5.75,US,2022-02-14 01:50:02
265,Saint-Louis,16.3333,-15.0,69.64,17,97,10.25,SN,2022-02-14 01:51:00
266,Voh,-20.9667,164.7,88.14,61,99,6.62,NC,2022-02-14 01:51:01
267,Ahipara,-35.1667,173.1667,70.84,55,17,11.52,NZ,2022-02-14 01:51:01
268,Margate,51.3813,1.3862,49.71,86,100,11.01,GB,2022-02-14 01:51:02
269,Lake City,30.1897,-82.6393,57.0,40,0,10.36,US,2022-02-14 01:51:03
270,Duluth,46.7833,-92.1066,7.56,75,100,8.05,US,2022-02-14 01:50:00
271,Vila Do Maio,15.1333,-23.2167,72.39,72,74,17.9,CV,2022-02-14 01:51:04
272,Dongsheng,39.8161,109.9776,12.31,48,100,3.09,CN,2022-02-14 01:51:04
273,Namibe,-15.1961,12.1522,73.69,84,100,1.68,AO,2022-02-14 01:51:05
274,Mount Isa,-20.7333,139.5,89.37,45,93,12.66,AU,2022-02-14 01:51:05
275,Norman Wells,65.282,-126.8329,-7.56,71,100,3.44,CA,2022-02-14 01:51:06
276,Nemuro,43.3236,145.575,27.03,87,100,14.25,JP,2022-02-14 01:52:07
277,Tambo,-14.8,-73.9167,37.0,85,98,4.43,PE,2022-02-14 01:52:08
278,Rafai,4.95,23.9167,69.37,35,22,2.19,CF,2022-02-14 01:52:08
279,Ixtapa,20.7,-105.2,75.22,79,95,1.99,MX,2022-02-14 01:52:09
280,Abu Kamal,34.4506,40.9171,52.02,36,0,6.73,SY,2022-02-14 01:52:10
281,Dalvik,65.9702,-18.5286,8.53,71,99,10.4,IS,2022-02-14 01:52:10
282,Saskylakh,71.9167,114.0833,-17.45,93,20,3.02,RU,2022-02-14 01:52:11
283,Constitucion,-35.3333,-72.4167,58.86,90,64,2.93,CL,2022-02-14 01:52:12
284,Santa Isabel,-23.3156,-46.2214,73.36,98,8,2.48,BR,2022-02-14 01:52:12
285,La Plata,-34.9215,-57.9545,74.97,47,0,10.27,AR,2022-02-14 01:50:00
286,Rovaniemi,66.5,25.7167,17.01,92,40,8.05,FI,2022-02-14 01:52:13
287,Kirakira,-10.4544,161.9205,80.04,84,100,4.09,SB,2022-02-14 01:52:13
288,Egvekinot,66.3167,-179.1667,-16.17,90,14,6.46,RU,2022-02-14 01:52:14
289,Wenling,28.3669,121.36,49.91,73,6,11.81,CN,2022-02-14 01:52:15
290,Wamba,8.9333,8.6,73.24,16,90,3.71,NG,2022-02-14 01:48:13
291,Cabo San Lucas,22.8909,-109.9124,72.18,58,79,6.2,MX,2022-02-14 01:52:16
292,Serramanna,39.4244,8.9244,44.65,87,40,1.14,IT,2022-02-14 01:52:17
